Website, Headline, Link
BBC World News,US election officials reject Trump's fraud claims,=HYPERLINK("https://www.bbc.com/news/election-us-2020-54926084")
BBC World News,Obama: Election fraud claims undermining democracy,=HYPERLINK("https://www.bbc.com/news/election-us-2020-54926299")
BBC World News,'Hundreds massacred' in Ethiopia| says Amnesty,=HYPERLINK("https://www.bbc.com/news/world-africa-54922971")
BBC World News,Too early for Christmas plans| Europeans warned,=HYPERLINK("https://www.bbc.com/news/world-europe-54926301")
BBC World News,Paris remembers 2015 night of jihadist terror,=HYPERLINK("https://www.bbc.com/news/world-europe-54924051")
BBC World News,TikTok lives to see another day in US,=HYPERLINK("https://www.bbc.com/news/technology-54926759")
BBC World News,Wall Street 'old boys club' lets in more women,=HYPERLINK("https://www.bbc.com/news/business-54876529")
BBC World News,Obama: Election fraud claims undermining democracy,=HYPERLINK("https://www.bbc.com/news/election-us-2020-54926299")
BBC World News,'Hundreds massacred' in Ethiopia| says Amnesty,=HYPERLINK("https://www.bbc.com/news/world-africa-54922971")
BBC World News,Too early for Christmas plans| Europeans warned,=HYPERLINK("https://www.bbc.com/news/world-europe-54926301")
BBC World News,Paris remembers 2015 night of jihadist terror,=HYPERLINK("https://www.bbc.com/news/world-europe-54924051")
BBC World News,TikTok lives to see another day in US,=HYPERLINK("https://www.bbc.com/news/technology-54926759")
BBC World News,Wall Street 'old boys club' lets in more women,=HYPERLINK("https://www.bbc.com/news/business-54876529")
BBC World News,Aung San Suu Kyi's party wins majority in election,=HYPERLINK("https://www.bbc.com/news/world-asia-54899170")
BBC World News,US bars investments in 'Chinese military companies',=HYPERLINK("https://www.bbc.com/news/business-54926102")
BBC World News,Belgium expels five Danes over plot to burn Koran,=HYPERLINK("https://www.bbc.com/news/world-europe-54919127")
BBC World News,Sinai peacekeepers killed in helicopter crash,=HYPERLINK("https://www.bbc.com/news/world-middle-east-54920096")
BBC World News,Barcelona plans major increase in 'green' zones,=HYPERLINK("https://www.bbc.com/news/world-europe-54920342")
BBC World News,Do these Republican voters accept election result?,=HYPERLINK("https://www.bbc.com/news/election-us-2020-54922924")
BBC World News,Fears grow for British man detained in Pakistan,=HYPERLINK("https://www.bbc.com/news/world-asia-54921606")
BBC World News,US and China's blame game over the environment,=HYPERLINK("https://www.bbc.com/news/election-us-2020-54719577")
BBC World News,Marooned by conflict: 'My little brother needs medicine',=HYPERLINK("https://www.bbc.com/news/world-africa-54890675")
BBC World News,(Video)  1 minute 52 secondsArmenian protesters urge 'traitor' PM to quit,=HYPERLINK("https://www.bbc.com/news/world-54923839")
BBC World News,(Video)  3 minutes 21 secondsIs American democracy in crisis?,=HYPERLINK("https://www.bbc.com/news/world-us-canada-54910628")
BBC World News,(Video)  3 minutes 25 secondsVW boss: 'We have no forced labour',=HYPERLINK("https://www.bbc.com/news/world-asia-china-54923837")
BBC World News,(Video)  3 minutes 26 secondsDiwali with a difference under Covid-19,=HYPERLINK("https://www.bbc.com/news/world-asia-54911170")
BBC World News,(Video)  30 secondsBigfin squid spotted in Australia for first time,=HYPERLINK("https://www.bbc.com/news/science-environment-54923456")
Reutuers,Paris Jackson wears heart on her sleeve in debut solo album,=HYPERLINK("https://www.reuters.com/article/uk-music-paris-jackson/paris-jackson-wears-heart-on-her-sleeve-in-debut-solo-album-idUKKBN27T0H2?il=0")
Reutuers,Signed| sealed| delivered: Japan to all but scrap centuries-old custom of stamping paperwork,=HYPERLINK("https://www.reuters.com/article/uk-japan-digital-seals/signed-sealed-delivered-japan-to-all-but-scrap-centuries-old-custom-of-stamping-paperwork-idUKKBN27T0GN?il=0")
Reutuers,Biden takes Arizona| cementing presidential win despite Trump's refusal to concede,=HYPERLINK("https://www.reuters.com/article/uk-usa-election/biden-takes-arizona-cementing-presidential-win-despite-trumps-refusal-to-concede-idUKKBN27S0LZ?il=0")
Reutuers,Explainer: Why recounts rarely change the results of U.S. elections,=HYPERLINK("https://www.reuters.com/article/uk-usa-election-recount-explainer/explainer-why-recounts-rarely-change-the-results-of-u-s-elections-idUKKBN27S376?il=0")
Reutuers,Factbox: Who are the top contenders for the Biden administration?,=HYPERLINK("https://www.reuters.com/article/uk-usa-biden-cabinet-factbox/factbox-who-are-the-top-contenders-for-the-biden-administration-idUKKBN27S3BG?il=0")
Reutuers,Factbox: U.S. election: key tallies| undetermined states| certification deadlines,=HYPERLINK("https://www.reuters.com/article/uk-usa-election-tallies-factbox/factbox-u-s-election-key-tallies-undetermined-states-certification-deadlines-idUKKBN27S1QS?il=0")
Reutuers,Factbox: Trump lawsuits seeks to stop Pennsylvania| Michigan from certifying Biden win,=HYPERLINK("https://www.reuters.com/article/uk-usa-election-legal-challenges-factbox/factbox-trump-lawsuits-seeks-to-stop-pennsylvania-michigan-from-certifying-biden-win-idUKKBN27S34M?il=0")
Reutuers,Factbox: What Twitter said worked - and didn't - in its U.S. election measures,=HYPERLINK("https://www.reuters.com/article/uk-usa-election-twitter-factbox/factbox-what-twitter-said-worked-and-didnt-in-its-u-s-election-measures-idUKKBN27S35V?il=0")
Reutuers,Zuckerberg defends not suspending ex-Trump aide Bannon from Facebook - recording,=HYPERLINK("https://www.reuters.com/article/uk-usa-election-facebook/zuckerberg-defends-not-suspending-ex-trump-aide-bannon-from-facebook-recording-idUKKBN27S35C?il=0")
Reutuers,Zuckerberg defends not suspending ex-Trump aide Bannon from Facebook: recording,=HYPERLINK("https://www.reuters.com/article/us-usa-election-facebook/zuckerberg-defends-not-suspending-ex-trump-aide-bannon-from-facebook-recording-idUKKBN27S35P?il=0")
Reutuers,Australia scraps plans to allow foreign students back,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-australia-students/australia-scraps-plans-to-allow-foreign-students-back-idUKKBN27T0B7?il=0")
