Website, Headline, Link
BBC World News,New Covid vaccine shows nearly 95% protection,=HYPERLINK("https://www.bbc.com/news/health-54902908")
BBC World News,More curbs as US Covid-19 cases surpass 11 million,=HYPERLINK("https://www.bbc.com/news/world-us-canada-54955093")
BBC World News,Hurricane Iota threatens 'catastrophic winds',=HYPERLINK("https://www.bbc.com/news/world-latin-america-54962005")
BBC World News,(Video)  49 secondsNew Zealand crowns chubby parrot Bird of the Year,=HYPERLINK("https://www.bbc.com/news/world-asia-54957834")
BBC World News,Hungary and Poland block EU Covid-recovery fund,=HYPERLINK("https://www.bbc.com/news/world-europe-54964858")
BBC World News,Germany hails Covid couch potatoes in virus videos,=HYPERLINK("https://www.bbc.com/news/world-europe-54959871")
BBC World News,British diplomat saves drowning Chinese woman,=HYPERLINK("https://www.bbc.com/news/world-asia-china-54961075")
BBC World News,More curbs as US Covid-19 cases surpass 11 million,=HYPERLINK("https://www.bbc.com/news/world-us-canada-54955093")
BBC World News,Hurricane Iota threatens 'catastrophic winds',=HYPERLINK("https://www.bbc.com/news/world-latin-america-54962005")
BBC World News,(Video)  49 secondsNew Zealand crowns chubby parrot Bird of the Year,=HYPERLINK("https://www.bbc.com/news/world-asia-54957834")
BBC World News,Hungary and Poland block EU Covid-recovery fund,=HYPERLINK("https://www.bbc.com/news/world-europe-54964858")
BBC World News,Germany hails Covid couch potatoes in virus videos,=HYPERLINK("https://www.bbc.com/news/world-europe-54959871")
BBC World News,British diplomat saves drowning Chinese woman,=HYPERLINK("https://www.bbc.com/news/world-asia-china-54961075")
BBC World News,S Africa issues warrant for millionaire preacher,=HYPERLINK("https://www.bbc.com/news/world-africa-54960278")
BBC World News,Four face trial in France over foiled train attack,=HYPERLINK("https://www.bbc.com/news/world-europe-54921285")
BBC World News,Kenya doctors' fury over Covid-19 deaths,=HYPERLINK("https://www.bbc.com/news/world-africa-54960146")
BBC World News,Israeli medic fired for spitting on Jesus pictures,=HYPERLINK("https://www.bbc.com/news/world-middle-east-54958353")
BBC World News,Japan leads economic 'Zoom boom' out of recession,=HYPERLINK("https://www.bbc.com/news/business-54955484")
BBC World News,(Video)  3 minutes 22 secondsHow to move on after the US election,=HYPERLINK("https://www.bbc.com/news/election-us-2020-54922925")
BBC World News,Why Ethiopia is spiralling out of control,=HYPERLINK("https://www.bbc.com/news/world-africa-54932333")
BBC World News,Six legal battles looming for Trump,=HYPERLINK("https://www.bbc.com/news/world-us-canada-54716550")
BBC World News,France's rural idyll threatened by Covid lockdown,=HYPERLINK("https://www.bbc.com/news/world-europe-54890230")
BBC World News,(Video)  2 minutes 25 secondsObama on division| conspiracies and 'truth decay',=HYPERLINK("https://www.bbc.com/news/world-us-canada-54946926")
BBC World News,(Video)  1 minute 15 secondsCovid-19 vaccine: 'We could have a normal winter next year',=HYPERLINK("https://www.bbc.com/news/health-54950272")
BBC World News,(Video)  47 secondsFrom a jaguar to 'Harry Potter' wheeled broomsticks,=HYPERLINK("https://www.bbc.com/news/world-54936467")
BBC World News,(Video)  3 minutes 17 secondsWhat do Trump supporters think of a Biden presidency?,=HYPERLINK("https://www.bbc.com/news/election-us-2020-54922927")
BBC World News,(Video)  6 minutes 17 seconds'We’ve lost an entire generation',=HYPERLINK("https://www.bbc.com/news/world-europe-54942864")
Reutuers,Germany files espionage charges against Egyptian-born man,=HYPERLINK("https://www.reuters.com/article/uk-germany-egypt/germany-files-espionage-charges-against-egyptian-born-man-idUKKBN27W232?il=0")
Reutuers,Mastercard gets U.S. DoJ green light for Finicity deal,=HYPERLINK("https://www.reuters.com/article/us-finicity-m-a-mastercard/mastercard-gets-u-s-doj-green-light-for-finicity-deal-idUKKBN27W22F?il=0")
Reutuers,Michigan| Washington state impose severe COVID-19 restrictions as U.S. infections soar,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-usa/michigan-washington-state-impose-severe-covid-19-restrictions-as-u-s-infections-soar-idUKKBN27V0J1?il=0")
Reutuers,Hungary| Poland block 2021-2027 EU budget| recovery package,=HYPERLINK("https://www.reuters.com/article/uk-eu-budget/hungary-poland-block-2021-2027-eu-budget-recovery-package-idUKKBN27W1UY?il=0")
Reutuers,Upholding rule of law standards for EU funds a necessity - Austria's Kurz,=HYPERLINK("https://www.reuters.com/article/uk-eu-budget-kurz/upholding-rule-of-law-standards-for-eu-funds-a-necessity-austrias-kurz-idUKKBN27W225?il=0")
Reutuers,Global stocks hit record on economic recovery| vaccine optimism,=HYPERLINK("https://www.reuters.com/article/uk-global-markets/global-stocks-hit-record-on-economic-recovery-vaccine-optimism-idUKKBN27W02R?il=0")
Reutuers,'Be lazy| save lives|' young Germans urged in comic COVID video,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-germany-heroes/be-lazy-save-lives-young-germans-urged-in-comic-covid-video-idUKKBN27W1PX?il=0")
Reutuers,Euro zone needs more help from ECB and governments| policymakers say,=HYPERLINK("https://www.reuters.com/article/uk-ecb-policy-decos/euro-zone-needs-more-help-from-ecb-and-governments-policymakers-say-idUKKBN27W1LR?il=0")
Reutuers,We can stop COVID-19: Moderna vaccine success gives world more hope,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-ema-moderna/we-can-stop-covid-19-moderna-vaccine-success-gives-world-more-hope-idUKKBN27W1BI?il=0")
Reutuers,Instant view: Moderna says its vaccine is 94.5% effective in preventing COVID-19,=HYPERLINK("https://www.reuters.com/article/uk-health-coronavirus-vaccines-moderna-i/instant-view-moderna-says-its-vaccine-is-94-5-effective-in-preventing-covid-19-idUKKBN27W1FF?il=0")
